district,primary_issue,urgency_score,population_served,complaint_count,last_reported
Downtown,water,8,5000,12,2024-06-15
Midtown,road,6,8000,8,2024-06-12
Eastside,sanitation,7,12000,15,2024-06-18
Westend,electricity,5,4000,5,2024-06-10
Northgate,road,6,6000,7,2024-06-11
Southbank,water,8,9000,10,2024-06-16
Riverdale,sanitation,7,11000,9,2024-06-17
Uptown,electricity,5,3000,3,2024-06-08
Industrial,electricity,4,7000,4,2024-06-09
Riverside,sanitation,7,10000,11,2024-06-14
Airport,road,6,15000,6,2024-06-13
Financial,water,8,6000,9,2024-06-15
Harbor,sanitation,7,13000,14,2024-06-19
Mountain,road,6,5000,5,2024-06-12
Greenbelt,sanitation,7,4000,4,2024-06-10
Park,water,8,3000,3,2024-06-15
```
